Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4G Parameter,Chrome 128.0.0.0,,,2024-09-29 14:09:30,2024-09-29 14:11:47,2m - 16.170s,FAILED
,,,,,,,
Test Cases/CM/Parameter/Time-Last Week/Parameter-Cell,Chrome 128.0.0.0,,,2024-09-29 14:09:31,2024-09-29 14:09:59,28.066s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-29 14:09:31,2024-09-29 14:09:40,9.229s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-29 14:09:40,2024-09-29 14:09:40,0.030s,PASSED
"CMParameter.Stats(""4G"", ""Cell"", false, ""Last Week"")",Chrome 128.0.0.0,,,2024-09-29 14:09:40,2024-09-29 14:09:58,17.601s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-29 14:09:58,2024-09-29 14:09:59,0.934s,PASSED
,,,,,,,
Test Cases/CM/Parameter/Time-Last Week/Parameter-PLMN XDD,Chrome 128.0.0.0,,,2024-09-29 14:09:59,2024-09-29 14:10:19,19.875s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-29 14:09:59,2024-09-29 14:10:06,7.571s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-29 14:10:06,2024-09-29 14:10:06,0.017s,PASSED
"CMParameter.Stats(""4G"", ""PLMN XDD"", false, ""Last Week"")",Chrome 128.0.0.0,,,2024-09-29 14:10:06,2024-09-29 14:10:18,11.436s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-29 14:10:18,2024-09-29 14:10:19,0.612s,PASSED
,,,,,,,
Test Cases/CM/Parameter/Time-Last Week/Parameter-PLMN,Chrome 128.0.0.0,,,2024-09-29 14:10:19,2024-09-29 14:10:43,24.698s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-29 14:10:19,2024-09-29 14:10:26,7.437s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-29 14:10:26,2024-09-29 14:10:26,0.015s,PASSED
"CMParameter.Stats(""4G"", ""PLMN"", false, ""Last Week"")",Chrome 128.0.0.0,,,2024-09-29 14:10:26,2024-09-29 14:10:43,16.386s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-29 14:10:43,2024-09-29 14:10:43,0.634s,PASSED
,,,,,,,
Test Cases/CM/Parameter/Time-Last Week/Parameter-Region XDD,Chrome 128.0.0.0,,,2024-09-29 14:10:43,2024-09-29 14:11:06,22.515s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-29 14:10:43,2024-09-29 14:10:52,8.336s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-29 14:10:52,2024-09-29 14:10:52,0.021s,PASSED
"CMParameter.Stats(""4G"", ""Region XDD"", false, ""Last Week"")",Chrome 128.0.0.0,,,2024-09-29 14:10:52,2024-09-29 14:11:05,13.340s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-29 14:11:05,2024-09-29 14:11:06,0.622s,PASSED
,,,,,,,
Test Cases/CM/Parameter/Time-Last Week/Parameter-Region,Chrome 128.0.0.0,,,2024-09-29 14:11:06,2024-09-29 14:11:27,21.744s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-29 14:11:06,2024-09-29 14:11:13,7.416s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-29 14:11:13,2024-09-29 14:11:13,0.024s,PASSED
"CMParameter.Stats(""4G"", ""Region"", false, ""Last Week"")",Chrome 128.0.0.0,,,2024-09-29 14:11:13,2024-09-29 14:11:27,13.451s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-29 14:11:27,2024-09-29 14:11:27,0.661s,PASSED
,,,,,,,
Test Cases/CM/Parameter/Time-Last Week/Parameter-Site,Chrome 128.0.0.0,,,2024-09-29 14:11:28,2024-09-29 14:11:47,19.043s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-29 14:11:28,2024-09-29 14:11:35,7.393s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-29 14:11:35,2024-09-29 14:11:35,0.027s,PASSED
"CMParameter.Stats(""4G"", ""Site"", false, ""Last Week"")",Chrome 128.0.0.0,,,2024-09-29 14:11:35,2024-09-29 14:11:46,10.780s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-29 14:11:46,2024-09-29 14:11:47,0.628s,PASSED
