Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2G Regression,Chrome 128.0.0.0,,,2024-09-03 16:44:13,2024-09-03 18:15:51,1h - 31m - 38.151s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/PLMN/PLMN 2G Neighbors,Chrome 128.0.0.0,,,2024-09-03 16:44:13,2024-09-03 16:45:07,54.031s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-03 16:44:13,2024-09-03 16:44:39,25.231s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-03 16:44:39,2024-09-03 16:44:39,0.059s,PASSED
"SON.son(""huawei"", ""2G"", ""PLMN"", ""2G Neighbors"", """", """")",Chrome 128.0.0.0,,,2024-09-03 16:44:39,2024-09-03 16:45:07,28.502s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Region/Region 2G Neighbors,Chrome 128.0.0.0,,,2024-09-03 16:45:07,2024-09-03 16:46:02,54.936s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-03 16:45:07,2024-09-03 16:45:32,24.976s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-03 16:45:32,2024-09-03 16:45:32,0.069s,PASSED
"SON.son(""huawei"", ""2G"", ""Region"", ""2G Neighbors"", """", """")",Chrome 128.0.0.0,,,2024-09-03 16:45:32,2024-09-03 16:46:02,29.690s,PASSED
,,,,,,,
Test Cases/SON/Huawei/2G/Site/Site 2G Neighbors,Chrome 128.0.0.0,,,2024-09-03 16:46:02,2024-09-03 16:48:41,2m - 38.690s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-03 16:46:02,2024-09-03 16:46:27,24.802s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-03 16:46:27,2024-09-03 16:46:27,0.041s,PASSED
"SON.son(""huawei"", ""2G"", ""Site"", ""2G Neighbors"", """", """")",Chrome 128.0.0.0,,,2024-09-03 16:46:27,2024-09-03 16:48:41,2m - 13.630s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cell/Cell 2G Neighbors,Chrome 128.0.0.0,,,2024-09-03 16:48:41,2024-09-03 16:51:20,2m - 38.703s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-03 16:48:41,2024-09-03 16:49:06,24.650s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-03 16:49:06,2024-09-03 16:49:06,0.076s,PASSED
"SON.son(""huawei"", ""2G"", ""Cell"", ""2G Neighbors"", """", """")",Chrome 128.0.0.0,,,2024-09-03 16:49:06,2024-09-03 16:51:20,2m - 13.770s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/BSC/BSC 2G Neighbors,Chrome 128.0.0.0,,,2024-09-03 16:51:20,2024-09-03 16:52:02,42.149s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-03 16:51:20,2024-09-03 16:51:44,24.527s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-03 16:51:44,2024-09-03 16:51:44,0.063s,PASSED
