Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression TopX 2G,Chrome 128.0.0.0,,,2024-09-26 14:36:25,2024-09-26 15:07:52,31m - 26.835s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN default,Chrome 128.0.0.0,,,2024-09-26 14:36:26,2024-09-26 14:37:32,1m - 6.455s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:36:26,2024-09-26 14:36:47,21.367s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:36:47,2024-09-26 14:36:47,0.024s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""Hourly"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:36:47,2024-09-26 14:37:32,44.578s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:37:32,2024-09-26 14:37:32,0.186s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN with LowX,Chrome 128.0.0.0,,,2024-09-26 14:37:32,2024-09-26 14:38:36,1m - 3.506s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:37:32,2024-09-26 14:37:51,18.566s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:37:51,2024-09-26 14:37:51,0.033s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", true, ""Hourly"", true, null)",Chrome 128.0.0.0,,,2024-09-26 14:37:51,2024-09-26 14:38:36,44.684s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:38:36,2024-09-26 14:38:36,0.013s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN Daily,Chrome 128.0.0.0,,,2024-09-26 14:38:36,2024-09-26 14:39:40,1m - 3.876s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:38:36,2024-09-26 14:38:55,19.105s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:38:55,2024-09-26 14:38:55,0.020s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""Daily"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:38:55,2024-09-26 14:39:40,44.505s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:39:40,2024-09-26 14:39:40,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN DailyBH,Chrome 128.0.0.0,,,2024-09-26 14:39:40,2024-09-26 14:40:48,1m - 8.393s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:39:40,2024-09-26 14:40:00,20.255s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:40:00,2024-09-26 14:40:00,0.020s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""DailyBH"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:40:00,2024-09-26 14:40:48,47.893s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:40:48,2024-09-26 14:40:48,0.006s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region default,Chrome 128.0.0.0,,,2024-09-26 14:40:48,2024-09-26 14:41:40,52.080s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:40:48,2024-09-26 14:41:08,19.595s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:41:08,2024-09-26 14:41:08,0.021s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""Hourly"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:41:08,2024-09-26 14:41:40,32.256s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:41:40,2024-09-26 14:41:40,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region with LowX,Chrome 128.0.0.0,,,2024-09-26 14:41:40,2024-09-26 14:42:35,54.764s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:41:40,2024-09-26 14:42:00,19.552s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:42:00,2024-09-26 14:42:00,0.019s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", true, ""Hourly"", true, null)",Chrome 128.0.0.0,,,2024-09-26 14:42:00,2024-09-26 14:42:35,34.983s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:42:35,2024-09-26 14:42:35,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region Daily,Chrome 128.0.0.0,,,2024-09-26 14:42:35,2024-09-26 14:43:40,1m - 4.812s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:42:35,2024-09-26 14:42:55,20.392s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:42:55,2024-09-26 14:42:55,0.019s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""Daily"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:42:55,2024-09-26 14:43:40,44.200s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:43:40,2024-09-26 14:43:40,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region DailyBH,Chrome 128.0.0.0,,,2024-09-26 14:43:40,2024-09-26 14:44:29,49.622s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:43:40,2024-09-26 14:43:58,18.661s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:43:58,2024-09-26 14:43:59,0.021s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""DailyBH"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:43:59,2024-09-26 14:44:29,30.744s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:44:29,2024-09-26 14:44:29,0.003s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XSite/TopX 2G Site default,Chrome 128.0.0.0,,,2024-09-26 14:44:29,2024-09-26 14:45:43,1m - 13.481s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:44:29,2024-09-26 14:44:48,18.752s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:44:48,2024-09-26 14:44:48,0.016s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Site"", false, ""Hourly"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:44:48,2024-09-26 14:45:42,53.792s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:45:42,2024-09-26 14:45:43,0.716s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XSite/TopX 2G Site with LowX,Chrome 128.0.0.0,,,2024-09-26 14:45:43,2024-09-26 14:46:20,36.865s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:45:43,2024-09-26 14:46:01,18.334s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:46:01,2024-09-26 14:46:01,0.021s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Site"", false, ""Hourly"", true, null)",Chrome 128.0.0.0,,,2024-09-26 14:46:01,2024-09-26 14:46:19,17.608s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:46:19,2024-09-26 14:46:20,0.686s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XSite/TopX 2G Site Daily,Chrome 128.0.0.0,,,2024-09-26 14:46:20,2024-09-26 14:48:22,2m - 1.982s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:46:20,2024-09-26 14:46:38,17.729s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:46:38,2024-09-26 14:46:38,0.044s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Site"", false, ""Daily"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:46:38,2024-09-26 14:48:21,1m - 43.294s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:48:21,2024-09-26 14:48:22,0.709s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XSite/TopX 2G Site DailyBH,Chrome 128.0.0.0,,,2024-09-26 14:48:22,2024-09-26 14:49:09,47.205s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:48:22,2024-09-26 14:48:38,16.515s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:48:38,2024-09-26 14:48:38,0.070s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Site"", false, ""DailyBH"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:48:38,2024-09-26 14:49:08,29.715s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:49:08,2024-09-26 14:49:09,0.689s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XCells/TopX 2G Cell default,Chrome 128.0.0.0,,,2024-09-26 14:49:09,2024-09-26 14:50:07,57.699s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:49:09,2024-09-26 14:49:29,20.043s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:49:29,2024-09-26 14:49:29,0.028s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Cell"", false, ""Hourly"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:49:29,2024-09-26 14:50:06,36.687s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:50:06,2024-09-26 14:50:07,0.732s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XCells/TopX 2G Cell with LowX,Chrome 128.0.0.0,,,2024-09-26 14:50:07,2024-09-26 14:51:18,1m - 11.302s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:50:07,2024-09-26 14:50:26,19.062s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:50:26,2024-09-26 14:50:26,0.021s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Cell"", true, ""Hourly"", true, null)",Chrome 128.0.0.0,,,2024-09-26 14:50:26,2024-09-26 14:51:13,47.417s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:51:13,2024-09-26 14:51:18,4.614s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XCells/TopX 2G Cell Daily,Chrome 128.0.0.0,,,2024-09-26 14:51:18,2024-09-26 14:53:38,2m - 19.727s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:51:18,2024-09-26 14:51:35,16.938s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:51:35,2024-09-26 14:51:35,0.026s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Cell"", false, ""Daily"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:51:35,2024-09-26 14:53:37,2m - 1.815s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:53:37,2024-09-26 14:53:38,0.703s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XCells/TopX 2G Cell DailyBH,Chrome 128.0.0.0,,,2024-09-26 14:53:38,2024-09-26 14:54:40,1m - 2.112s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:53:38,2024-09-26 14:53:56,17.835s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:53:56,2024-09-26 14:53:56,0.019s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Cell"", false, ""DailyBH"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:53:56,2024-09-26 14:54:39,43.274s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:54:39,2024-09-26 14:54:40,0.746s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XBSC/TopX 2G BSC default,Chrome 128.0.0.0,,,2024-09-26 14:54:40,2024-09-26 14:55:42,1m - 2.001s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:54:40,2024-09-26 14:54:57,17.402s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:54:57,2024-09-26 14:54:57,0.012s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""BSC"", false, ""Hourly"", false, null)",Chrome 128.0.0.0,,,2024-09-26 14:54:57,2024-09-26 14:55:41,43.658s,FAILED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:55:41,2024-09-26 14:55:42,0.703s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XBSC/TopX 2G BSC with LowX,Chrome 128.0.0.0,,,2024-09-26 14:55:42,2024-09-26 14:56:40,58.628s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 128.0.0.0,,,2024-09-26 14:55:42,2024-09-26 14:56:01,18.801s,PASSED
switchToWindowIndex(1),Chrome 128.0.0.0,,,2024-09-26 14:56:01,2024-09-26 14:56:01,0.025s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""BSC"", true, ""Hourly"", true, null)",Chrome 128.0.0.0,,,2024-09-26 14:56:01,2024-09-26 14:56:40,39.592s,PASSED
Start tear down : tearDownTestCase,Chrome 128.0.0.0,,,2024-09-26 14:56:40,2024-09-26 14:56:40,0.005s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XBSC/TopX 2G BSC Daily,Chrome 128.0.0.0,,,2024-09-26 14:56:40,2024-09-26 14:57:08,27.128s,FAILED
