Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4G-View,Chrome 127.0.0.0,,,2024-07-31 15:29:34,2024-07-31 15:42:14,12m - 40.051s,ERROR
,,,,,,,
Test Cases/CM/View/4G/View-PLMN,Chrome 127.0.0.0,,,2024-07-31 15:29:34,2024-07-31 15:29:34,0.018s,ERROR
,,,,,,,
Test Cases/CM/View/4G/View-Region,Chrome 127.0.0.0,,,2024-07-31 15:29:34,2024-07-31 15:30:08,33.539s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 15:29:34,2024-07-31 15:29:48,14.089s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 15:29:48,2024-07-31 15:29:49,0.297s,PASSED
"CM.Stats(""4G"", ""Region"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 15:29:49,2024-07-31 15:30:08,18.933s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Site,Chrome 127.0.0.0,,,2024-07-31 15:30:08,2024-07-31 15:30:35,26.976s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 15:30:08,2024-07-31 15:30:20,12.496s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 15:30:20,2024-07-31 15:30:20,0.051s,PASSED
"CM.Stats(""4G"", ""Site"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 15:30:20,2024-07-31 15:30:35,14.180s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Cell,Chrome 127.0.0.0,,,2024-07-31 15:30:35,2024-07-31 15:31:22,47.748s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 15:30:35,2024-07-31 15:30:48,12.864s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 15:30:48,2024-07-31 15:30:48,0.173s,PASSED
"CM.Stats(""4G"", ""Cell"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 15:30:48,2024-07-31 15:31:22,34.291s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Cluster,Chrome 127.0.0.0,,,2024-07-31 15:31:22,2024-07-31 15:32:25,1m - 2.825s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 15:31:23,2024-07-31 15:31:42,19.707s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 15:31:42,2024-07-31 15:31:43,0.276s,PASSED
"CM.Stats(""4G"", ""Cluster"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 15:31:43,2024-07-31 15:32:25,42.518s,PASSED
,,,,,,,
