Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"PMHwaueiStats.Stats(""4G"", ""Cluster"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:00:54,2024-10-03 16:01:11,17.127s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:01:11,2024-10-03 16:01:11,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cluster/Cluster Aggregation,Chrome 129.0.0.0,,,2024-10-03 16:01:11,2024-10-03 16:01:48,36.911s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:01:11,2024-10-03 16:01:30,18.626s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:01:30,2024-10-03 16:01:30,0.021s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Cluster"", true, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:01:30,2024-10-03 16:01:48,18.007s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:01:48,2024-10-03 16:01:48,0.004s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cluster Band/Cluster Band,Chrome 129.0.0.0,,,2024-10-03 16:01:48,2024-10-03 16:02:35,47.374s,FAILED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:01:48,2024-10-03 16:02:07,19.038s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:02:07,2024-10-03 16:02:07,0.014s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Cluster Band"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:02:07,2024-10-03 16:02:34,27.319s,FAILED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:02:34,2024-10-03 16:02:35,0.761s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cluster Band/Cluster Band aggregation,Chrome 129.0.0.0,,,2024-10-03 16:02:35,2024-10-03 16:03:22,46.525s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:02:36,2024-10-03 16:02:55,19.648s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:02:55,2024-10-03 16:02:55,0.038s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Region Band"", true, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:02:55,2024-10-03 16:03:22,26.538s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:03:22,2024-10-03 16:03:22,0.010s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Governorate/Governorate,Chrome 129.0.0.0,,,2024-10-03 16:03:22,2024-10-03 16:04:09,47.088s,PASSED
"callTestCase(findTestCase(""LoginNew""), [:], STOP_ON_FAILURE)",Chrome 129.0.0.0,,,2024-10-03 16:03:22,2024-10-03 16:03:42,19.250s,PASSED
switchToWindowIndex(1),Chrome 129.0.0.0,,,2024-10-03 16:03:42,2024-10-03 16:03:42,0.015s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Governorate"", false, ""Hourly"")",Chrome 129.0.0.0,,,2024-10-03 16:03:42,2024-10-03 16:04:09,27.224s,PASSED
Start tear down : tearDownTestCase,Chrome 129.0.0.0,,,2024-10-03 16:04:09,2024-10-03 16:04:09,0.006s,PASSED
,,,,,,,
