Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4G-View,Chrome 127.0.0.0,,,2024-08-04 14:50:53,2024-08-04 15:06:04,15m - 10.942s,ERROR
,,,,,,,
Test Cases/CM/View/4G/View-PLMN,Chrome 127.0.0.0,,,2024-08-04 14:50:53,2024-08-04 14:51:31,37.934s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:50:53,2024-08-04 14:51:19,26.017s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:51:19,2024-08-04 14:51:19,0.104s,PASSED
"CMView.Stats(""4G"", ""PLMN"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 14:51:19,2024-08-04 14:51:31,11.535s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Region,Chrome 127.0.0.0,,,2024-08-04 14:51:31,2024-08-04 14:52:06,35.238s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:51:31,2024-08-04 14:51:55,23.527s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:51:55,2024-08-04 14:51:55,0.111s,PASSED
"CMView.Stats(""4G"", ""Region"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 14:51:55,2024-08-04 14:52:06,11.332s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Site,Chrome 127.0.0.0,,,2024-08-04 14:52:06,2024-08-04 14:52:44,38.243s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:52:06,2024-08-04 14:52:31,24.964s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:52:31,2024-08-04 14:52:31,0.034s,PASSED
"CMView.Stats(""4G"", ""Site"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 14:52:31,2024-08-04 14:52:44,13.015s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Cell,Chrome 127.0.0.0,,,2024-08-04 14:52:44,2024-08-04 14:53:27,42.890s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:52:44,2024-08-04 14:53:08,23.053s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:53:08,2024-08-04 14:53:08,0.026s,PASSED
"CMView.Stats(""4G"", ""Cell"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 14:53:08,2024-08-04 14:53:27,19.586s,PASSED
,,,,,,,
Test Cases/CM/View/4G/View-Cluster,Chrome 127.0.0.0,,,2024-08-04 14:53:27,2024-08-04 14:55:23,1m - 55.703s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 14:53:27,2024-08-04 14:53:50,22.977s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 14:53:50,2024-08-04 14:53:50,0.094s,PASSED
"CMView.Stats(""4G"", ""Cluster"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 14:53:50,2024-08-04 14:55:23,1m - 32.443s,FAILED
,,,,,,,
