Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression Stats 4g,Chrome 127.0.0.0,,,2024-07-31 11:29:26,2024-07-31 12:00:45,31m - 19.436s,ERROR
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/PLMN/PLMN,Chrome 127.0.0.0,,,2024-07-31 11:29:26,2024-07-31 11:30:18,51.724s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:29:27,2024-07-31 11:29:47,20.803s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:29:47,2024-07-31 11:29:48,0.164s,PASSED
"PMHwaueiStats.Stats(""4G"", ""PLMN"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:29:48,2024-07-31 11:30:18,30.317s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Region-Folder/Region,Chrome 127.0.0.0,,,2024-07-31 11:30:18,2024-07-31 11:31:19,1m - 0.835s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:30:18,2024-07-31 11:30:35,16.813s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:30:35,2024-07-31 11:30:35,0.140s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Region"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:30:35,2024-07-31 11:31:19,43.663s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Region-Folder/Region-Aggregation,Chrome 127.0.0.0,,,2024-07-31 11:31:19,2024-07-31 11:32:15,56.136s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:31:19,2024-07-31 11:31:35,15.446s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:31:35,2024-07-31 11:31:35,0.174s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Region"", true, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:31:35,2024-07-31 11:32:15,40.242s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Site/Site,Chrome 127.0.0.0,,,2024-07-31 11:32:15,2024-07-31 11:33:23,1m - 7.962s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:32:15,2024-07-31 11:32:28,13.293s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:32:28,2024-07-31 11:32:29,0.047s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Site"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:32:29,2024-07-31 11:33:23,54.398s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Site/Site-Aggregation,Chrome 127.0.0.0,,,2024-07-31 11:33:23,2024-07-31 11:34:15,51.751s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:33:23,2024-07-31 11:33:36,12.828s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:33:36,2024-07-31 11:33:36,0.059s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Site"", true, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:33:36,2024-07-31 11:34:15,38.595s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cell/Cell,Chrome 127.0.0.0,,,2024-07-31 11:34:15,2024-07-31 11:34:42,27.054s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:34:15,2024-07-31 11:34:30,14.861s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:34:30,2024-07-31 11:34:30,0.162s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Cell"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:34:30,2024-07-31 11:34:42,11.692s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cell/Cell-Aggregation,Chrome 127.0.0.0,,,2024-07-31 11:34:42,2024-07-31 11:37:12,2m - 29.817s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:34:42,2024-07-31 11:35:10,28.129s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:35:10,2024-07-31 11:35:10,0.029s,PASSED
"click(findTestObject(""Object Repository/PM/PM-Button""))",Chrome 127.0.0.0,,,2024-07-31 11:35:10,2024-07-31 11:37:12,2m - 1.415s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/Stats/4G/Cluster/Cluster,Chrome 127.0.0.0,,,2024-07-31 11:37:12,2024-07-31 11:38:28,1m - 15.986s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-07-31 11:37:12,2024-07-31 11:37:31,18.768s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-07-31 11:37:31,2024-07-31 11:37:31,0.227s,PASSED
"PMHwaueiStats.Stats(""4G"", ""Cluster"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-07-31 11:37:31,2024-07-31 11:38:28,56.692s,PASSED
,,,,,,,
