Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2G Regression,Chrome 127.0.0.0,,,2024-08-25 16:47:21,2024-08-25 17:01:06,13m - 44.397s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Site/Site 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:47:21,2024-08-25 16:49:49,2m - 27.456s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:47:22,2024-08-25 16:47:46,24.184s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:47:46,2024-08-25 16:47:46,0.088s,PASSED
"SON.son(""huawei"", ""2G"", ""Site"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:47:46,2024-08-25 16:49:49,2m - 2.911s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cell/Cell 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:49:49,2024-08-25 16:51:13,1m - 24.264s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:49:49,2024-08-25 16:50:12,23.372s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:50:12,2024-08-25 16:50:13,0.096s,PASSED
"SON.son(""huawei"", ""2G"", ""Cell"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:50:13,2024-08-25 16:51:13,1m - 0.595s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/BSC/BSC 2G Neighbors,Chrome 127.0.0.0,,,2024-08-25 16:51:13,2024-08-25 16:52:23,1m - 9.730s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:51:13,2024-08-25 16:51:37,23.349s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:51:37,2024-08-25 16:51:37,0.048s,PASSED
"SON.son(""huawei"", ""2G"", ""BSC"", ""2G Neighbors"", """")",Chrome 127.0.0.0,,,2024-08-25 16:51:37,2024-08-25 16:52:23,46.038s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Site/Site 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:52:23,2024-08-25 16:53:30,1m - 6.991s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:52:23,2024-08-25 16:52:48,24.626s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:52:48,2024-08-25 16:52:48,0.064s,PASSED
"SON.son(""huawei"", ""2G"", ""Site"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:52:48,2024-08-25 16:53:30,42.074s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/Cell/Cell 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:53:30,2024-08-25 16:54:33,1m - 3.120s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:53:30,2024-08-25 16:53:54,23.586s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:53:54,2024-08-25 16:53:54,0.071s,PASSED
"SON.son(""huawei"", ""2G"", ""Cell"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:53:54,2024-08-25 16:54:33,39.218s,FAILED
,,,,,,,
Test Cases/SON/Huawei/2G/BSC/BSC 2G CoBCCH,Chrome 127.0.0.0,,,2024-08-25 16:54:33,2024-08-25 17:01:06,6m - 32.578s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-25 16:54:33,2024-08-25 16:54:56,22.891s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-25 16:54:56,2024-08-25 16:54:56,0.078s,PASSED
"SON.son(""huawei"", ""2G"", ""BSC"", ""2G CoBCCH"", """")",Chrome 127.0.0.0,,,2024-08-25 16:54:56,2024-08-25 17:01:06,6m - 9.353s,FAILED
