Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4G-View,Chrome 127.0.0.0,,,2024-08-04 15:07:32,2024-08-04 15:19:22,11m - 50.150s,ERROR
,,,,,,,
Test Cases/CM/View/4G/View-Cluster,Chrome 127.0.0.0,,,2024-08-04 15:07:32,2024-08-04 15:10:19,2m - 47.457s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 15:07:32,2024-08-04 15:07:58,25.826s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 15:07:58,2024-08-04 15:07:58,0.044s,PASSED
"CMView.Stats(""4G"", ""Cluster"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 15:07:58,2024-08-04 15:10:19,2m - 21.314s,FAILED
,,,,,,,
Test Cases/CM/View/4G/View-Governorate XDD,Chrome 127.0.0.0,,,2024-08-04 15:10:19,2024-08-04 15:13:02,2m - 42.713s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 15:10:20,2024-08-04 15:10:43,22.985s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 15:10:43,2024-08-04 15:10:43,0.094s,PASSED
"CMView.Stats(""4G"", ""Governorate XDD"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 15:10:43,2024-08-04 15:13:02,2m - 19.398s,FAILED
,,,,,,,
Test Cases/CM/View/4G/View-PLMN XDD,Chrome 127.0.0.0,,,2024-08-04 15:13:02,2024-08-04 15:13:41,38.750s,ERROR
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 15:13:02,2024-08-04 15:13:25,23.037s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 15:13:25,2024-08-04 15:13:25,0.026s,PASSED
"CMView.Stats(""4G"", ""PLMN XDD"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 15:13:25,2024-08-04 15:13:41,15.460s,ERROR
,,,,,,,
Test Cases/CM/View/4G/View-Sector,Chrome 127.0.0.0,,,2024-08-04 15:13:41,2024-08-04 15:16:51,3m - 10.261s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 15:13:41,2024-08-04 15:14:05,24.271s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 15:14:05,2024-08-04 15:14:06,0.077s,PASSED
"CMView.Stats(""4G"", ""Sector"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 15:14:06,2024-08-04 15:16:51,2m - 45.605s,FAILED
,,,,,,,
Test Cases/CM/View/4G/View-Cluster Band,Chrome 127.0.0.0,,,2024-08-04 15:16:51,2024-08-04 15:19:22,2m - 30.765s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 15:16:51,2024-08-04 15:17:14,22.993s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 15:17:14,2024-08-04 15:17:14,0.086s,PASSED
"CMView.Stats(""4G"", ""Cluster Band"", false, ""Hourly"")",Chrome 127.0.0.0,,,2024-08-04 15:17:14,2024-08-04 15:19:22,2m - 7.484s,FAILED
