Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression TopX 2G,Chrome 127.0.0.0,,,2024-08-04 13:07:02,2024-08-04 13:56:44,49m - 42.181s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN default,Chrome 127.0.0.0,,,2024-08-04 13:07:02,2024-08-04 13:08:01,58.904s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:07:02,2024-08-04 13:07:27,25.203s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:07:27,2024-08-04 13:07:27,0.049s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""Hourly"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:07:27,2024-08-04 13:08:01,33.378s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN with LowX,Chrome 127.0.0.0,,,2024-08-04 13:08:01,2024-08-04 13:08:53,52.172s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:08:01,2024-08-04 13:08:25,23.564s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:08:25,2024-08-04 13:08:25,0.058s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", true, ""Hourly"", true, null)",Chrome 127.0.0.0,,,2024-08-04 13:08:25,2024-08-04 13:08:53,28.310s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN Daily,Chrome 127.0.0.0,,,2024-08-04 13:08:53,2024-08-04 13:10:37,1m - 44.489s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:08:53,2024-08-04 13:09:15,22.198s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:09:15,2024-08-04 13:09:15,0.076s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""Daily"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:09:15,2024-08-04 13:10:37,1m - 22.019s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XPLMN/TopX 2G PLMN DailyBH,Chrome 127.0.0.0,,,2024-08-04 13:10:37,2024-08-04 13:13:14,2m - 36.720s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:10:38,2024-08-04 13:11:00,22.784s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:11:00,2024-08-04 13:11:00,0.041s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""PLMN"", false, ""DailyBH"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:11:00,2024-08-04 13:13:14,2m - 13.676s,FAILED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region default,Chrome 127.0.0.0,,,2024-08-04 13:13:14,2024-08-04 13:14:05,50.924s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:13:14,2024-08-04 13:13:38,23.354s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:13:38,2024-08-04 13:13:38,0.073s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""Hourly"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:13:38,2024-08-04 13:14:05,27.316s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region with LowX,Chrome 127.0.0.0,,,2024-08-04 13:14:05,2024-08-04 13:14:50,44.949s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:14:05,2024-08-04 13:14:29,23.272s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:14:29,2024-08-04 13:14:29,0.137s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", true, ""Hourly"", true, null)",Chrome 127.0.0.0,,,2024-08-04 13:14:29,2024-08-04 13:14:50,21.368s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region Daily,Chrome 127.0.0.0,,,2024-08-04 13:14:50,2024-08-04 13:15:45,54.961s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:14:50,2024-08-04 13:15:13,23.003s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:15:13,2024-08-04 13:15:13,0.102s,PASSED
"PMHwaueiTopX.TopX(""2G"", ""Region"", false, ""Daily"", false, null)",Chrome 127.0.0.0,,,2024-08-04 13:15:13,2024-08-04 13:15:45,31.660s,PASSED
,,,,,,,
Test Cases/PM/Hwauei/TopX/2G TopX/XRegion/TopX 2G Region DailyBH,Chrome 127.0.0.0,,,2024-08-04 13:15:45,2024-08-04 13:18:23,2m - 38.059s,FAILED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,2024-08-04 13:15:45,2024-08-04 13:16:08,23.234s,PASSED
switchToWindowIndex(1),Chrome 127.0.0.0,,,2024-08-04 13:16:08,2024-08-04 13:16:08,0.052s,PASSED
